Node;Grau;Betweenness_Centrality_Weighted;Closeness_Centrality_Weighted;X_Coord;Y_Coord
159;2;0.020059671173744683;0.10532544378698225;706.17;1557.05
151;3;0.01161683488859265;0.09689711486118671;608.52;1549.87
43;1;0.0;0.08838133068520357;605.65;1559.92
147;3;0.022662350028565988;0.09769484083424808;551.08;1525.46
160;3;0.21005522757569986;0.11710526315789474;713.87;1524.06
131;4;0.049768298101948834;0.09044715447154472;354.24;1522.67
38;1;0.0;0.08298368298368299;352.91;1559.92
141;3;0.012759474385831273;0.09008097165991903;462.33;1522.59
40;1;0.0;0.08267533673943335;458.89;1559.35
120;3;0.028185107598552656;0.08345053914674168;257.84;1521.44
36;1;0.0;0.07705627705627706;256.69;1551.31
111;4;0.023170189805116485;0.07759372275501308;18.31;1521.15
154;3;0.1725385640830318;0.10716435881998795;637.24;1521.15
4;1;0.0;0.07203561311210037;-0.65;1520.29
93;3;0.030468270593960924;0.11858760826115923;1347.16;1516.88
30;1;0.0;0.10607866507747318;1558.46;1523.31
9;1;0.0;0.07203561311210037;1.08;1512.54
77;4;0.0343617088808481;0.11491284699806327;1184.38;1473.76
81;3;0.040688546097039716;0.12191780821917808;1220.28;1476.63
63;4;0.017497196301233624;0.10360884749708964;1112.57;1468.02
56;3;0.011235955056179775;0.09807162534435261;1069.49;1468.02
177;3;0.027550307877864534;0.08333333333333333;98.73;1460.84
1;1;0.0;0.07695633376567229;-0.36;1456.53
107;3;0.0697010093315559;0.09030948756976154;153.3;1434.99
98;3;0.022408430140290737;0.0830223880597015;140.37;1410.58
133;3;0.13451406081381326;0.09834254143646409;360.09;1390.47
35;1;0.0;0.07669108143041792;222.23;1361.75
21;1;0.0;0.07669108143041792;130.32;1324.41
95;4;0.03340316130260902;0.11994609164420485;1350.24;1303.59
26;1;0.0;0.10716435881998795;1557.03;1312.21
92;3;0.017146018317223816;0.1259731068648266;1314.13;1302.91
174;3;0.23130620622526935;0.12851985559566786;952.25;1519.75
173;3;0.2877803932730812;0.1404893449092344;947.94;1278.49
94;3;0.03065039765668217;0.1240418118466899;1347.37;1256.2
155;3;0.2046836676368392;0.14126984126984127;645.14;1250.46
134;3;0.1867858362410187;0.13862928348909656;364.39;1324.41
148;3;0.0438309846640084;0.13373403456048083;554.67;1240.4
144;3;0.03631660438682744;0.12796549245147376;523.8;1239.4
89;3;0.032106671708092185;0.12335412335412335;128.6;1238.25
79;2;0.0;0.11090342679127727;12.56;1217.57
82;3;0.16484575721713532;0.135258358662614;1233.2;1215.27
78;3;0.045771175860682634;0.12051455653351388;1192.99;1210.97
67;3;0.02080238684694979;0.10814094775212636;1135.55;1209.53
157;3;0.0417342955008954;0.1346444780635401;673.86;1204.5
65;3;0.015860822812157564;0.10960591133004927;112.51;1201.49
121;3;0.028662243803893043;0.11914323962516733;259.56;1215.27
162;4;0.01725007207716382;0.11230283911671925;72.3;1196.89
0;1;0.0;0.10102156640181612;-0.07;1188.85
169;3;0.04390274111820786;0.1328358208955224;870.6;1167.17
84;3;0.1527976411224214;0.13681783243658724;1233.92;1126.96
70;3;0.0468060692023045;0.1390625;1159.24;1121.21
145;3;0.029891942636664278;0.1328358208955224;531.26;1100.96
123;3;0.019972350289428117;0.11565951916829109;268.18;1083.73
71;3;0.020838654389287736;0.10652304009575105;116.53;1069.95
96;3;0.043471158154075665;0.13146233382570163;1371.57;1055.91
27;1;0.0;0.116263879817113;1557.17;1083.73
138;3;0.013764573943587464;0.09468085106382979;38.41;1013.65
7;1;0.0;0.08653378706854643;0.5;1020.55
75;3;0.016715951389797975;0.09955257270693513;118.83;996.42
102;3;0.011080764455369563;0.10800970873786407;146.4;989.53
117;3;0.013907558198593338;0.11756935270805813;242.91;966.55
125;3;0.03363947314488469;0.12750716332378223;275.07;961.96
163;3;0.09466267258512394;0.1457821457821458;733.6;976.92
146;3;0.06753106957217614;0.14171974522292993;542.26;953.23
142;3;0.09791407284181729;0.1445978878960195;503.65;949.79
139;4;0.20394308684581228;0.14251401120896717;388.81;939.55
51;3;0.04389765264425634;0.13692307692307693;1027.13;946.02
57;3;0.007488958223655374;0.1309786607799853;1084.57;924.48
58;3;0.007069147069798574;0.1324404761904762;1085.29;811.75
69;4;0.035084381306654734;0.13495072024260804;1155.65;807.44
85;3;0.12706247901924916;0.13273676360924683;1234.64;803.13
126;4;0.03406167826804495;0.10229885057471265;29.22;767.8
6;1;0.0;0.09285341679707877;-0.65;770.1
105;4;0.07413477523966461;0.11265822784810127;151.57;751.14
119;3;0.07657470317908323;0.12335412335412335;251.52;739.66
137;3;0.16605078180960853;0.13650306748466257;378.47;720.7
136;3;0.14812542624643463;0.13917122752150118;376.17;680.49
143;3;0.09463495026038365;0.14424635332252836;516.33;663.26
97;3;0.027082445007852684;0.10415447630193095;139.51;648.32
153;3;0.10781385709939538;0.14401294498381878;630.58;645.2
164;3;0.08723205231947047;0.1410459587955626;748.33;629.4
165;3;0.11837808743618716;0.14626129827444537;762.0;627.51
100;4;0.03351742525233289;0.1;1434.82;602.95
25;1;0.0;0.09095554420030659;1539.37;926.92
23;1;0.0;0.09095554420030659;1429.08;747.7
90;3;0.05516409572779788;0.11062771908017402;1282.03;587.72
19;1;0.0;0.09966405375139978;1268.24;718.98
54;5;0.1270833853329752;0.14320193081255028;1054.93;587.04
29;1;0.0;0.09095554420030659;1557.75;590.31
91;3;0.00885220617201493;0.09823399558498896;129.17;573.65
66;4;0.11738366907419102;0.13982717989002358;1129.81;570.49
5;1;0.0;0.09285341679707877;-0.65;569.05
115;3;0.009829521008344094;0.1017724413950829;207.29;558.71
80;4;0.19224250969341927;0.13671274961597543;1211.66;548.95
87;3;0.10975052370976962;0.12343966712898752;1278.23;547.55
108;3;0.04417571256268649;0.11272957568081064;1536.0;545.39
33;1;0.0;0.10136674259681093;1558.98;544.9
74;3;0.007458896718085426;0.09758771929824561;118.63;513.8
114;3;0.01671570008778962;0.10324825986078887;196.17;500.88
132;3;0.022408430140290737;0.09314495028780743;36.77;482.21
3;1;0.0;0.08524904214559387;-0.57;489.39
60;3;0.03782510832345946;0.10241657077100115;110.01;467.85
113;3;0.06738703875890772;0.11237373737373738;189.71;451.33
129;3;0.15680872325968678;0.1354642313546423;334.75;445.59
140;3;0.11654524456618494;0.1346444780635401;409.42;425.48
53;3;0.04152873744973115;0.13671274961597543;1033.39;424.77
128;3;0.12732588638581493;0.12335412335412335;326.13;418.3
61;4;0.08067476578666263;0.13363363363363365;1106.62;414.71
161;3;0.0408763803492539;0.13444108761329304;718.17;411.12
76;3;0.09091345516291487;0.1307861866274798;1184.17;403.23
106;3;0.03147337015171713;0.10545023696682465;1513.02;400.35
32;1;0.0;0.09544235924932976;1558.98;403.23
150;3;0.1534916964805263;0.14004720692368214;592.52;378.81
50;3;0.02247393464444558;0.13185185185185186;1020.46;368.76
48;1;0.0;0.11858760826115923;931.43;406.1
2;1;0.0;0.08524904214559387;-0.57;352.96
158;4;0.20346311559009586;0.1363984674329502;700.94;349.37
73;3;0.07262472406709941;0.12309820193637622;1175.55;345.78
170;4;0.13251970457168485;0.13107511045655376;888.35;299.83
104;3;0.026020440551006156;0.1033081834010447;1490.05;278.29
28;1;0.0;0.09368421052631579;1557.54;276.85
178;4;0.0962812605089609;0.12983223924142961;996.05;272.55
116;3;0.022408430140290737;0.08191440404970088;24.56;263.21
10;1;0.0;0.07574468085106383;1.59;270.39
55;4;0.14177323448575396;0.13136531365313653;1069.29;255.31
149;3;0.022408430140290737;0.11021671826625387;579.6;249.57
44;1;0.0;0.09933035714285714;637.04;275.42
172;3;0.044372500476099794;0.089;94.93;238.8
68;4;0.08944903291715081;0.12361111111111112;1145.4;232.34
156;4;0.11937023333424021;0.12343966712898752;667.19;226.59
124;3;0.10027190588036142;0.11780277961614824;268.69;211.51
112;3;0.06582873103535834;0.09721463681048607;181.09;205.77
166;3;0.044182060559893356;0.11049037864680322;770.59;205.05
86;4;0.14197834054051917;0.11733684904416612;1261.72;202.18
8;1;0.0;0.07574468085106383;0.87;200.74
39;1;0.0;0.09933035714285714;435.99;324.24
130;3;0.0682469401142035;0.12301313061506565;339.06;188.54
122;3;0.08870268097082037;0.10684273709483794;260.08;178.48
176;3;0.017909795374592;0.12100611828687967;970.2;169.15
168;3;0.011108995112042152;0.09983174425126191;826.6;156.23
103;4;0.14118580587824545;0.10781344639612356;1464.2;151.92
31;1;0.0;0.09737417943107221;1558.98;147.61
135;3;0.044938530227046705;0.11439588688946016;364.91;139.71
118;3;0.01606043293340951;0.10028169014084506;244.28;131.1
171;3;0.011235955056179775;0.09095554420030659;938.61;126.07
46;1;0.0;0.08341143392689784;865.37;186.38
175;3;0.019224304969877246;0.11461687057308435;960.15;117.45
64;3;0.007323775063253257;0.11202013845185652;1119.55;113.14
127;3;0.023529909646839757;0.10403272939801286;311.77;108.12
52;4;0.039950234309852076;0.11710526315789474;1029.08;95.91
101;3;0.1079794324890497;0.09845132743362832;1439.79;82.99
62;3;0.013806893924966673;0.10768300060496068;1109.5;81.55
72;3;0.022408430140290737;0.07688984881209503;1168.37;70.06
17;1;0.0;0.07142857142857142;1187.04;116.02
167;3;0.011108995112042152;0.09983174425126191;789.26;54.27
99;3;0.06582873103535834;0.0902179422199696;1426.86;52.83
152;3;0.040988337822274214;0.11476466795615732;615.5;51.39
110;2;0.022344950168221925;0.08985360928823827;1560.41;37.03
88;3;0.044372500476099794;0.08309990662931839;1278.95;19.8
42;1;0.0;0.08176389526871843;6.61;2.57
34;1;0.0;0.09118852459016394;200.48;2.57
37;1;0.0;0.09427966101694915;273.72;2.57
20;1;0.0;0.07675722294092281;1271.77;2.57
109;2;0.011235955056179775;0.08256029684601113;1547.49;2.57
24;1;0.0;0.07629661380197171;1464.2;28.42
11;1;0.0;0.10489098408956983;1001.07;1.85
13;1;0.0;0.09726775956284153;1088.67;1.85
47;1;0.0;0.10289017341040463;924.96;0.42
49;1;0.0;0.08864541832669323;97.09;-0.3
41;1;0.0;0.10300925925925926;598.26;-0.3
22;1;0.0;0.0827906976744186;1411.07;-0.3
15;1;0.0;0.07142857142857142;1136.78;-1.74
83;4;0.17875429695884962;0.13702848344880678;1233.27;1297.52
12;1;0.0;0.0893574297188755;1054.41;1557.77
14;1;0.0;0.09393139841688654;1106.11;1559.21
16;1;0.0;0.10312862108922363;1172.17;1559.21
18;1;0.0;0.10873549175320708;1212.38;1560.64
45;1;0.0;0.11733684904416612;818.9;1562.08
59;4;0.07828521363537247;0.14228617106314947;1088.85;1020.9
