Dia,Fluxo
2025-05-01,1450541
2025-05-02,1952590
2025-05-03,1785334
2025-05-04,1532156
2025-05-05,1963731
2025-05-06,1999398
2025-05-07,2069415
2025-05-08,2142017
2025-05-09,2242983
2025-05-10,1979585
2025-05-11,1586020
2025-05-12,2016063
2025-05-13,2070836
2025-05-14,2085975
2025-05-15,2117506
2025-05-16,2102643
2025-05-17,1862824
2025-05-18,1453702
2025-05-19,1998601
2025-05-20,2010237
2025-05-21,2062013
2025-05-22,2105859
2025-05-23,2166900
2025-05-24,1902234
2025-05-25,1465314
2025-05-26,2006097
2025-05-27,2058600
2025-05-28,2093741
2025-05-29,2102332
2025-05-30,2220944
2025-05-31,1957168